geographicAreaM49,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
56,3.29972E+11,3.3602E+11,3.41164E+11,3.37882E+11,3.48785E+11,3.57103E+11,3.62793E+11,3.76254E+11,3.83686E+11,3.97358E+11,4.11797E+11,4.15139E+11,4.2253E+11,4.25803E+11,4.4128E+11,4.50521E+11,4.61812E+11,4.7774E+11,4.81481E+11,4.70633E+11,4.83548E+11,4.92244E+11,4.93399E+11,4.94389E+11,5.00592E+11,5.09186E+11,5.16766E+11,5.25514E+11
84,573440466.4,588234591.6,623706869.5,663676224.6,680025413.9,708352801.3,719532452.9,745376744.2,772932577.9,840481453.9,949418238.8,997037099.1,1048098456,1145849022,1199109125,1234740966,1292739435,1308388639,1342596667,1352169895,1397115000,1427666033,1480700458,1491300041,1551627349,1610511826,1602664404,1610381226
204,2920919719,3044351928,3134395054,3317323744,3384346968,3727242750,3888717527,4111721298,4274587078,4502911983,4766680126,5020893783,5254015983,5434942002,5675692406,5772925756,6000595869,6359811357,6671225044,6825950698,6970254725,7176836247,7510156842,8026735018,8551721201,9107583079,9562962233,10041110344
60,3995608677,4006054971,3896861640,3991272480,4054344441,4273125303,4438689198,4643124036,4824662171,4988210042,5137038604,5507997005,5426600603,5611685783,5744000879,5840177364,6109184734,6312010027,6383911936,6004288521,5852973325,5583405171,5352624788,5241074361,5220819090,5243631948,5237860381,5369395914
64,407465210.1,410481533.9,425541479.5,434108104.3,459625563.8,490783448.4,522220072,552891809.8,586786652.8,633388892,688728975.6,745230915.8,825178102.5,888505256.3,940906822.2,1007925656,1076984249,1270258872,1330433667,1418991211,1585464266,1710584163,1797329510,1835833319,1941310400,2069387162,2234745833,2368865940
68,9312417675,9802671873,9964280883,10389409061,10874839109,11383183867,11879892766,12468447462,13095529906,13151432808,13481245760,13708243036,14048970541,14429885720,15032087479,15696697182,16449686623,17200505198,18258079382,18871047883,19649786223,20672366428,21731262044,23208121055,24475416676,25664233490,26758536090,27881111882
70,3814927795,3458307408,3235699314,3165117470,3517457253,4249088381,6552064570,8952814991,10440448217,11434542836,12053645210,12377761381,13001727105,13508589857,14361590167,14921867270,15729847951,16650655095,17554677395,17028516376,17176320803,17340477561,17197264429,17601544136,17803911066,18351175148,18928149009,19501933738
72,5316013739,5710674662,5882055266,5994761759,6212367516,6649122440,7036752985,7601561413,7656444166,8396611056,8563510146,8584970800,9106034890,9527276108,9785063971,10230927963,11086634991,12004261118,12753975280,11777996370,12786612324,13559997723,14164251957,15770951119,16425342605,16146445130,16843242792,17240756785
76,1.2103E+12,1.22276E+12,1.21132E+12,1.2699E+12,1.34422E+12,1.40099E+12,1.43112E+12,1.47942E+12,1.47995E+12,1.48371E+12,1.5476E+12,1.56792E+12,1.6096E+12,1.62805E+12,1.71971E+12,1.77477E+12,1.84509E+12,1.95708E+12,2.05678E+12,2.05419E+12,2.20884E+12,2.29663E+12,2.34075E+12,2.41108E+12,2.42324E+12,2.3319E+12,2.25115E+12,2.27333E+12
92,182004806.1,228621037.6,275752713.4,358434997.7,453968053.8,563213534.4,607192425.6,671032750.4,740547770.9,811481466,885172359,928709335.3,874095074.4,788646550.5,797593280,920959511.4,909787476.1,901242585.4,893347331.6,877103011.9,876152000,870141382.1,830629819.3,875471012.8,886575681.9,888936822.8,891970507.2,896847178.4
96,9593420430,9895223772,10366095935,10397668381,10724716289,11205044906,11527561777,11357705086,11294066763,11638870768,11970909403,12299507596,12775726557,13146645608,13212935764,13264193540,13847458442,13868526198,13600088180,13359882437,13707116269,14220366407,14350217596,14045306585,13693066137,13639336806,13301365256,13478107332
100,40330520905,36924465145,34246638101,33739670809,34353100901,35335678862,32015139294,31666551975,32763079075,30794068375,32315465883,33533829328,35524905943,37356647696,39760681832,42593038407,45521036511,48864293490,51806844269,49948975390,50610343680,51579484113,51595458212,51850284341,52803060800,54635973534,56786830394,58951153553
854,3038470508,3314180076,3321733763,3436927486,3481979832,3681073434,4086534531,4344674148,4662170510,4953168356,5046707647,5380466900,5614676678,6052761483,6323831509,6871593777,7282880337,7601469388,8042353984,8280564557,8979964356,9575059600,10192906826,10783341717,11249920253,11688051028,12379491931,13161772543
108,1739869059,1832664975,1865757836,1734623127,1681117339,1563083870,1428537946,1433960554,1498338740,1483362012,1470002553,1500880163,1568411345,1549588506,1614501728,1629193694,1717406178,1776077776,1863112523,1933673593,2032137629,2114144646,2207662735,2315813740,2413900981,2404072501,2472323366,2472360115
132,520285282.1,527604012.7,543661526.1,583422987.9,623839858.5,670565037.9,715471458.1,770121621.1,834916418.7,933952771.3,1001811987,1063294677,1119463422,1171890329,1222047264,1301735650,1433754604,1557762351,1661357907,1640251585,1664310632,1730365230,1749086368,1763127991,1773903250,1791765253,1876081990,1951373986
116,2697524304,2902176369,3106197510,3233290106,3481454449,3687620761,3857258025,4074027939,4278097333,4787608369,5207360567,5631659413,6002170620,6512714356,7186179487,8138341521,9014922226,9935579714,10600429165,10609636480,11242278819,12037066032,12911132291,13876864944,14858164985,15903610543,16998189007,18189254558
120,15017052864,14451804218,14011001695,13568519732,13856710154,14337508383,14962774103,15745513808,16454425948,17160662333,17770431943,18546656766,19332514306,20215466844,21586290910,22022466857,22783930821,23900845073,24734697975,25278530938,26143752761,27223128965,28460025689,29998002992,31763303113,33558385548,35118234238,36364670609
124,1.01407E+12,9.92517E+11,1.00128E+12,1.02787E+12,1.07405E+12,1.10281E+12,1.12058E+12,1.16854E+12,1.2139E+12,1.27658E+12,1.34274E+12,1.36651E+12,1.40765E+12,1.43302E+12,1.47724E+12,1.52453E+12,1.56452E+12,1.5968E+12,1.61277E+12,1.5652E+12,1.61346E+12,1.66415E+12,1.69319E+12,1.7351E+12,1.78465E+12,1.80251E+12,1.828E+12,1.88371E+12
136,1649541671,1671732816,1723142298,1805619381,1901411152,1992764693,2092254986,2207279079,2875602353,2972941145,3002045305,3018755826,3070836954,3132248123,3160377502,3365638416,3520483703,3631827470,3618848537,3358272605,3267075089,3305266887,3345914925,3388720407,3478675626,3577229306,3703708721,3789134327
140,1445759930,1462817652,1443350662,1438322225,1512775935,1590729787,1470658967,1560674919,1631726801,1728620376,1761842501,1772950448,1762135732,1637875394,1683214532,1723304553,1805229796,1878003048,1927074388,1963818354,2033813912,2075310957,2135464688,1351749148,1365807825,1431366600,1496225072,1560993210
148,2923479115,3034512759,3104297503,3049953432,3224151848,3269244223,3339170630,3527577560,3771601470,3752730371,3733880735,4163936096,4518430386,5164064914,6902911743,7449187928,7328846684,8629881674,8742094753,9538798733,10969618543,11803309553,12794787555,12206227328,12621239057,13100846141,12747123295,12346448301
152,78446509610,84698618424,95097934691,1.01742E+11,1.07549E+11,1.18979E+11,1.278E+11,1.36242E+11,1.40643E+11,1.39573E+11,1.45839E+11,1.50764E+11,1.54057E+11,1.59868E+11,1.71085E+11,1.81652E+11,1.93128E+11,2.02601E+11,2.09752E+11,2.06471E+11,2.18538E+11,2.31892E+11,2.44226E+11,2.54105E+11,2.58594E+11,2.64555E+11,2.67904E+11,2.71896E+11
