"geographicAreaM49","timePointYears","measuredItemParentCPC_tree","sum_shares"
"1248","2013","'0112",0.9
"1248","2012","'0112",0.9
"1248","2011","'0112",0.9
"1248","2010","'0112",0.9
"1248","2013","'24320",0.9
"1248","2012","'24320",0.9
"1248","2011","'24320",0.9
"1248","2010","'24320",0.9
