"geographicAreaM49","timePointYears","measuredItemParentCPC_tree","sum_shares"
"56","2013","'23161.03",0.9
"56","2012","'23161.03",0.9
"56","2011","'23161.03",0.9
"56","2010","'23161.03",0.9
