"","geographicAreaM49","measuredItemParentCPC","measuredItemChildCPC","timePointYears","shareDownUp","sum_shares"
"124","50","01242","21340","2017",0,1.8
"125","50","01243","21340","2017",0,1.8
"126","50","01251","21340","2017",0,1.8
"127","50","01253.01","21340","2017",0,1.8
"128","50","01253.02","21340","2017",1,1.8
"129","50","01270","21340","2017",0,1.8
"130","50","01290.90","21340","2017",0.810750644155944,1.8
"131","50","01211","21340","2018",0,1.8
"132","50","01212","21340","2018",0,1.8
"133","50","01213","21340","2018",0,1.8
"134","50","01216","21340","2018",0,1.8
"135","50","01231","21340","2018",0,1.8
"136","50","01232","21340","2018",0,1.8
"137","50","01233","21340","2018",0,1.8
"138","50","01235","21340","2018",0,1.8
"139","50","01241.90","21340","2018",0,1.8
"140","50","01242","21340","2018",0,1.8
"141","50","01243","21340","2018",0,1.8
"142","50","01251","21340","2018",0,1.8
"143","50","01253.01","21340","2018",0,1.8
"144","50","01253.02","21340","2018",1,1.8
"145","50","01270","21340","2018",0,1.8
"146","50","01290.90","21340","2018",0.810508280035703,1.8
"147","50","01211","21340","2019",0,1.8
"148","50","01212","21340","2019",0,1.8
"149","50","01213","21340","2019",0,1.8
"150","50","01216","21340","2019",0,1.8
"151","50","01231","21340","2019",0,1.8
"152","50","01232","21340","2019",0,1.8
"153","50","01233","21340","2019",0,1.8
"154","50","01235","21340","2019",0,1.8
"155","50","01241.90","21340","2019",0,1.8
"156","50","01242","21340","2019",0,1.8
"157","50","01243","21340","2019",0,1.8
"158","50","01251","21340","2019",0,1.8
"159","50","01253.01","21340","2019",0,1.8
"160","50","01253.02","21340","2019",1,1.8
"161","50","01270","21340","2019",0,1.8
"162","50","01290.90","21340","2019",0.810786357338148,1.8
